trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,5,-17.11418530026294,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-33.558042393296915,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-77.56119169082774,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-179.16788298646807,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-185.10673599298025,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,2,-76.42063700135935,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-49.31767211793952,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,4,-59.87361197227928,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,10,-24.388215263813798,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-117.76894784250946,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-147.05474889635875,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,8,-26.06665838592544,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,11,-25.913657604199965,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,1,-47.87515827164901,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,6,-5.4608724365180334,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,11,20.0998235659001,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-26.6617321403704,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,13,22.708032993935248,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,14,10.712696432382522,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,17,-26.2812071784141,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,3,26.947969598511964,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,11.591912102420576,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-31.47039578723712,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,15,19.215416172291313,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,20,8.294054341769744,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,39.720324714521254,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,11,2.593612601049055,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,25.654468476717096,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,11,14.997827303152196,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,3,-14.224134826514819,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
