trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.995}",20,0,-79.63584944154903,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.25, 'e': 0.99}",20,0,-118.3931741654327,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.25, 'e': 0.985}",20,7,-2.934531240694106,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.25, 'e': 0.98}",20,0,-209.28425560570778,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.25, 'e': 0.975}",25,0,-130.83813876899086,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.25, 'e': 0.97}",25,0,-175.12390374526885,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.25, 'e': 0.965}",20,0,-90.6864218456016,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.25, 'e': 0.96}",20,0,-106.25834358717641,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.25, 'e': 0.955}",20,0,-115.7528648609817,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.25, 'e': 0.95}",25,0,-52.220627559948056,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.25, 'e': 0.945}",20,0,-74.88875816779687,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.94}",20,0,-123.32272390008981,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.25, 'e': 0.9349999999999999}",30,0,-42.4171231932641,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.25, 'e': 0.9299999999999999}",20,9,9.464290099108956,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.25, 'e': 0.9249999999999999}",30,0,-95.04369968044897,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
16,False,"{'a': 0.25, 'e': 0.9199999999999999}",20,0,-109.5892533982421,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.25, 'e': 0.9149999999999999}",25,0,-197.14899129818818,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
18,False,"{'a': 0.25, 'e': 0.9099999999999999}",25,0,-116.85246121598476,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.25, 'e': 0.9049999999999999}",20,0,-36.60672933321152,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.25, 'e': 0.8999999999999999}",30,0,-191.57544754879012,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
21,False,"{'a': 0.25, 'e': 0.8949999999999999}",25,0,-240.0736098072832,"{0: 10, 1: 1, 2: 9, 3: 2, 4: 3}",0
22,False,"{'a': 0.25, 'e': 0.8899999999999999}",30,15,-37.52157443318362,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 0}",1
23,False,"{'a': 0.25, 'e': 0.8849999999999999}",30,0,-255.83436632930153,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 5}",0
24,False,"{'a': 0.25, 'e': 0.8799999999999999}",30,4,-111.80696735296983,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 2}",1
25,False,"{'a': 0.25, 'e': 0.8749999999999999}",20,0,-75.06093849337942,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.25, 'e': 0.8699999999999999}",30,0,-83.56158169318931,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.25, 'e': 0.8649999999999999}",20,0,-37.658327519363894,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.25, 'e': 0.8599999999999999}",25,0,-95.21859009177182,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.25, 'e': 0.8549999999999999}",20,0,-4.163124879348192,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.25, 'e': 0.8499999999999999}",25,0,-118.39209074828294,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
31,False,"{'a': 0.25, 'e': 0.8449999999999999}",20,0,-40.472469249858335,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
32,False,"{'a': 0.25, 'e': 0.8399999999999999}",30,0,-106.61886615758777,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
33,False,"{'a': 0.25, 'e': 0.8349999999999999}",20,0,-168.97883550057762,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
34,False,"{'a': 0.25, 'e': 0.8299999999999998}",25,10,-154.70827024648156,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 3}",1
35,False,"{'a': 0.25, 'e': 0.8249999999999998}",20,5,-61.91829795839428,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 0}",1
36,False,"{'a': 0.25, 'e': 0.8199999999999998}",25,0,-110.76374613889323,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
37,False,"{'a': 0.25, 'e': 0.8149999999999998}",20,0,-82.78166406156727,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
38,False,"{'a': 0.25, 'e': 0.8099999999999998}",25,0,-116.82281870203562,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
39,False,"{'a': 0.25, 'e': 0.8049999999999998}",20,0,-55.98855640679663,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.25, 'e': 0.7999999999999998}",25,0,-136.30413584327758,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
41,False,"{'a': 0.25, 'e': 0.7949999999999998}",20,0,-7.131964292610333,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
42,False,"{'a': 0.25, 'e': 0.7899999999999998}",20,0,-62.28326679208262,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.25, 'e': 0.7849999999999998}",20,11,17.618066305510077,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.25, 'e': 0.7799999999999998}",20,6,8.062019556843222,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.25, 'e': 0.7749999999999998}",35,0,-97.0577598292529,"{0: 28, 1: 0, 2: 5, 3: 0, 4: 2}",0
46,False,"{'a': 0.25, 'e': 0.7699999999999998}",20,8,-106.53181532751844,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 2}",1
47,False,"{'a': 0.25, 'e': 0.7649999999999998}",20,0,-42.16040481743448,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.25, 'e': 0.7599999999999998}",20,0,-69.48911791257945,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.25, 'e': 0.7549999999999998}",30,0,-8.845590325083661,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
50,False,"{'a': 0.25, 'e': 0.7499999999999998}",25,14,-23.35051561174125,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.25, 'e': 0.7449999999999998}",20,0,-126.84279638093771,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
52,False,"{'a': 0.25, 'e': 0.7399999999999998}",25,0,-78.94570210017885,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.25, 'e': 0.7349999999999998}",25,17,-38.352585065799424,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.25, 'e': 0.7299999999999998}",35,0,-21.199547252179663,"{0: 28, 1: 2, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.25, 'e': 0.7249999999999998}",25,0,-141.2981670096799,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
56,False,"{'a': 0.25, 'e': 0.7199999999999998}",20,0,-71.01727000846476,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
57,False,"{'a': 0.25, 'e': 0.7149999999999997}",25,2,-70.57594200839038,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 1}",1
58,False,"{'a': 0.25, 'e': 0.7099999999999997}",25,15,9.107914494934022,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.25, 'e': 0.7049999999999997}",20,6,-33.57427103720716,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
60,False,"{'a': 0.25, 'e': 0.6999999999999997}",30,0,-1.3084988671896212,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.25, 'e': 0.6949999999999997}",30,0,-119.12934450634924,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
62,False,"{'a': 0.25, 'e': 0.6899999999999997}",20,6,4.088671778766447,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.25, 'e': 0.6849999999999997}",20,11,-23.85233073660334,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.25, 'e': 0.6799999999999997}",25,0,-28.169995784659235,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.25, 'e': 0.6749999999999997}",20,0,-78.1020881604302,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.25, 'e': 0.6699999999999997}",20,12,-34.36138095730847,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.25, 'e': 0.6649999999999997}",20,5,-38.469337089803645,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.25, 'e': 0.6599999999999997}",30,0,-133.91052077137178,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
69,False,"{'a': 0.25, 'e': 0.6549999999999997}",25,0,-122.76114346302083,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
70,False,"{'a': 0.25, 'e': 0.6499999999999997}",20,0,2.20896770339521,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.25, 'e': 0.6449999999999997}",25,0,-207.74531809251178,"{0: 13, 1: 5, 2: 2, 3: 1, 4: 4}",0
