trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9975}",20,-2,-127.4183563276109,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.9950000000000001}",25,-49,-266.62103500050114,"{0: 46, 1: 11, 2: 12, 3: 2, 4: 3}",0
3,False,"{'a': 0.9, 'e': 0.9925000000000002}",20,-100,-492.29722980573916,"{0: 82, 1: 9, 2: 18, 3: 2, 4: 9}",0
4,False,"{'a': 0.9, 'e': 0.9900000000000002}",20,-55,-376.65658422621874,"{0: 46, 1: 8, 2: 13, 3: 2, 4: 6}",0
5,False,"{'a': 0.9, 'e': 0.9875000000000003}",30,16,-64.05485978645883,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.9, 'e': 0.9850000000000003}",25,10,-123.55251278612566,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 2}",1
7,False,"{'a': 0.9, 'e': 0.9825000000000004}",25,-100,-529.8864090948632,"{0: 78, 1: 12, 2: 23, 3: 7, 4: 5}",0
8,False,"{'a': 0.9, 'e': 0.9800000000000004}",35,-76,-366.13426573494297,"{0: 71, 1: 8, 2: 25, 3: 4, 4: 3}",0
9,False,"{'a': 0.9, 'e': 0.9775000000000005}",30,-100,-774.6030842655655,"{0: 75, 1: 13, 2: 26, 3: 4, 4: 12}",0
10,False,"{'a': 0.9, 'e': 0.9750000000000005}",20,9,-9.040897806872168,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.9725000000000006}",20,-100,-629.3825965285101,"{0: 69, 1: 7, 2: 31, 3: 6, 4: 7}",0
12,False,"{'a': 0.9, 'e': 0.9700000000000006}",20,-6,-152.50310332173305,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.9675000000000007}",30,-5,-120.4883093164808,"{0: 25, 1: 3, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.9650000000000007}",25,-100,-548.5157662524522,"{0: 75, 1: 19, 2: 20, 3: 4, 4: 7}",0
15,False,"{'a': 0.9, 'e': 0.9625000000000008}",20,0,-55.85015952291443,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.9600000000000009}",20,-30,-384.43560976830145,"{0: 26, 1: 2, 2: 13, 3: 4, 4: 5}",0
17,False,"{'a': 0.9, 'e': 0.9575000000000009}",25,-100,-627.6297886527256,"{0: 80, 1: 7, 2: 25, 3: 3, 4: 10}",0
18,False,"{'a': 0.9, 'e': 0.955000000000001}",20,-100,-598.0175444263318,"{0: 72, 1: 9, 2: 26, 3: 6, 4: 7}",0
19,False,"{'a': 0.9, 'e': 0.952500000000001}",25,-100,-701.44535838557,"{0: 72, 1: 12, 2: 28, 3: 2, 4: 11}",0
20,False,"{'a': 0.9, 'e': 0.9500000000000011}",20,-34,-230.4102450312373,"{0: 31, 1: 3, 2: 16, 3: 3, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,-57,-391.35291270791845,"{0: 52, 1: 8, 2: 13, 3: 4, 4: 5}",0
2,True,"{'a': 0, 'e': 0}",20,-57,-291.1042830977423,"{0: 50, 1: 5, 2: 16, 3: 3, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",25,-100,-415.42367989701233,"{0: 86, 1: 8, 2: 21, 3: 6, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",25,-44,-314.08546619221215,"{0: 48, 1: 2, 2: 10, 3: 4, 4: 5}",0
5,True,"{'a': 0, 'e': 0}",20,-73,-379.7013953658393,"{0: 52, 1: 16, 2: 18, 3: 4, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",30,-45,-343.9688406783837,"{0: 49, 1: 3, 2: 15, 3: 3, 4: 5}",0
7,True,"{'a': 0, 'e': 0}",25,-100,-750.1258923199375,"{0: 72, 1: 8, 2: 29, 3: 6, 4: 10}",0
8,True,"{'a': 0, 'e': 0}",20,-33,-223.65296937513975,"{0: 30, 1: 9, 2: 9, 3: 3, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,-39,-265.48404809941877,"{0: 40, 1: 1, 2: 12, 3: 2, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",30,-77,-413.58666903309177,"{0: 70, 1: 8, 2: 23, 3: 0, 4: 6}",0
